1 1
01.01.1969 00:00:00.00    86400.0    8.  -6. 0.7 2.8e-4  1.5  0.1
12.6250000    18.237    18.237    1.600    92.000    2.000    90.000
12.6666667    18.237    18.237    1.600    92.000    2.000    90.000
12.7083333    18.237    18.237    1.600    92.000    2.000    90.000
12.7500000    18.237    18.237    1.600    92.000    2.000    90.000
12.7916667    18.237    18.237    1.600    92.000    2.000    90.000
12.8333333    18.237    18.237    1.600    92.000    2.000    90.000
12.8750000    18.237    18.237    1.600    92.000    2.000    90.000
12.9166667    18.237    18.237    1.600    92.000    2.000    90.000
12.9583333    18.237    18.237    1.600    92.000    2.000    90.000
13.0000000    18.237    18.237    1.600    92.000    2.000    90.000
13.0416667    0.000    0.000    0.500    90.000    0.700    90.000
13.0833333    0.000    0.000    0.500    90.000    0.700    90.000
13.1250000    0.000    0.000    0.500    90.000    0.700    90.000
13.1666667    0.000    0.000    0.500    90.000    0.700    90.000
13.2083333    0.000    0.000    0.500    90.000    0.700    90.000
13.2500000    0.000    0.000    0.500    90.000    0.700    90.000
13.2916667    0.000    0.000    0.500    90.000    0.700    90.000
13.3333333    0.000    0.000    0.500    90.000    0.700    90.000
13.3750000    0.000    0.000    0.500    90.000    0.700    90.000
13.4166667    0.000    0.000    0.500    90.000    0.700    90.000
13.4583333    0.000    0.000    0.500    90.000    0.700    90.000
13.5000000    0.000    0.000    0.500    90.000    0.700    90.000
13.5416667    43.042    43.042    0.500    90.000    0.700    90.000
13.5833333    43.042    43.042    0.500    90.000    0.700    90.000
13.6250000    43.042    43.042    0.500    90.000    0.700    90.000
13.6666667    43.042    43.042    0.500    90.000    0.700    90.000
13.7083333    43.042    43.042    0.500    90.000    0.700    90.000
13.7500000    43.042    43.042    0.500    90.000    0.700    90.000
13.7916667    43.042    43.042    0.500    90.000    0.700    90.000
13.8333333    43.042    43.042    0.500    90.000    0.700    90.000
13.8750000    43.042    43.042    0.500    90.000    0.700    90.000
13.9166667    43.042    43.042    0.500    90.000    0.700    90.000
13.9583333    43.042    43.042    0.500    90.000    0.700    90.000
14.0000000    43.042    43.042    0.500    90.000    0.700    90.000
14.0416667    0.000    0.000    1.500    86.000    0.700    90.000
14.0833333    0.000    0.000    1.500    86.000    0.700    90.000
14.1250000    0.000    0.000    1.500    86.000    0.700    90.000
14.1666667    0.000    0.000    1.500    86.000    0.700    90.000
